age,gender,education,department,job_level,years_at_company,years_in_current_role,monthly_salary,overtime_hours_monthly,num_projects_completed,performance_rating,training_hours_yearly,work_life_balance_score,distance_from_home_km,num_companies_worked,job_satisfaction,relationship_with_manager,stock_option_level,ratio_salario_edad,antiguedad_satisfaccion,rango_edad
55,Male,Bachelor,Operations,3,1.7,8.5,4913.64,9,6,4,47.9,4,23.1,3,5,1,0,89.3389090909091,8.5,maduro
23,Female,Master,Sales,2,1.1,1.2,4064.25,5,7,4,67.0,3,3.8,4,3,4,0,176.70652173913044,3.3000000000000003,joven
26,Female,Bachelor,Engineering,2,4.6,4.3,6780.95,6,6,3,37.2,4,32.5,5,3,3,2,260.8057692307692,13.8,joven
52,Female,Bachelor,IT,1,1.3,0.4,5847.01,4,3,3,13.7,5,0.3,1,3,5,2,112.4425,3.9,maduro
36,Female,Bachelor,Legal,2,1.6,1.2,6447.27,8,4,2,64.6,3,13.9,1,4,5,0,179.09083333333334,6.4,adulto
37,Non-binary,Master,Finance,1,4.5,6.3,9675.5,4,4,5,43.0,3,18.5,0,4,3,0,261.5,18.0,adulto
45,Male,Master,Sales,1,5.7,6.4,4625.93,12,9,1,46.0,4,2.1,2,3,4,0,102.79844444444446,17.1,adulto
31,Female,Master,Operations,2,0.6,4.1,3047.37,8,6,3,34.0,3,11.2,3,5,4,2,98.30225806451612,3.0,adulto
38,Female,PhD,Operations,2,0.6,0.8,5149.09,4,5,4,38.1,5,1.0,2,5,3,2,135.50236842105264,3.0,adulto
48,Female,Bachelor,Operations,4,0.5,1.1,2725.71,5,3,3,50.4,4,15.5,2,2,4,1,56.785625,1.0,maduro
43,Male,Bachelor,Legal,2,4.8,9.0,4184.31,11,9,3,47.7,4,9.6,1,5,3,0,97.30953488372094,24.0,adulto
39,Male,Master,Engineering,5,0.4,1.9,6518.82,6,5,4,57.0,3,0.6,2,4,4,1,167.14923076923077,1.6,adulto
45,Male,PhD,Marketing,1,2.3,2.2,5814.75,9,7,4,27.9,3,69.9,4,4,3,1,129.21666666666667,9.2,adulto
48,Female,Master,Engineering,2,1.6,0.4,3391.89,7,3,5,59.4,3,13.6,0,4,5,2,70.66437499999999,6.4,maduro
28,Male,Master,Engineering,1,4.8,7.4,5535.36,9,3,4,38.4,3,20.1,1,2,3,2,197.69142857142856,9.6,joven
39,Male,Master,Engineering,2,4.0,2.2,4296.65,4,10,2,32.0,4,19.6,1,3,3,0,110.1705128205128,12.0,adulto
37,Female,Master,Engineering,1,3.0,2.8,2093.01,10,5,3,49.3,3,3.5,3,5,3,0,56.56783783783784,15.0,adulto
38,Male,Master,Legal,1,12.6,1.7,4984.76,9,5,4,39.9,4,0.6,5,3,3,3,131.17789473684212,37.8,adulto
26,Female,Bachelor,Engineering,2,4.2,2.7,4932.26,9,3,4,54.1,3,27.8,0,4,4,0,189.7023076923077,16.8,joven
60,Female,PhD,Operations,2,1.6,1.9,2632.09,11,6,4,58.5,4,1.2,2,2,4,0,43.86816666666667,3.2,maduro
30,Male,Bachelor,Marketing,1,3.1,7.7,4054.59,6,9,4,48.2,5,5.0,2,4,2,0,135.153,12.4,joven
42,Male,Master,Finance,2,7.3,2.8,5148.35,5,7,2,69.2,4,35.3,2,4,4,2,122.57976190476192,29.2,adulto
48,Male,High School,Sales,2,4.4,2.1,5038.19,9,9,3,33.4,3,10.4,2,4,4,2,104.96229166666666,17.6,maduro
28,Non-binary,Bachelor,IT,2,1.3,2.0,3562.97,3,2,4,26.4,3,8.9,2,5,4,2,127.24892857142856,6.5,joven
46,Female,Master,Marketing,3,8.2,2.2,3783.42,6,6,3,39.8,2,8.4,3,3,4,2,82.24826086956521,24.6,maduro
28,Male,PhD,Operations,1,1.7,1.7,9261.17,11,8,4,42.3,4,74.1,4,3,4,0,330.75607142857143,5.1,joven
60,Female,Master,Sales,1,3.5,0.5,5607.44,9,5,3,22.5,5,3.9,5,5,1,2,93.45733333333332,17.5,maduro
58,Female,Bachelor,Operations,1,3.6,3.9,4048.92,10,12,2,45.7,4,9.2,3,3,4,0,69.80896551724138,10.8,maduro
27,Male,Bachelor,Finance,5,17.1,8.9,6226.18,8,7,3,21.9,4,13.5,2,4,4,2,230.59925925925927,68.4,joven
35,Male,Bachelor,Engineering,2,2.5,2.2,4931.89,5,5,4,53.4,4,11.1,3,5,3,0,140.91114285714286,12.5,adulto
32,Female,Bachelor,Finance,5,5.1,2.6,2756.61,12,4,5,52.3,3,6.1,2,3,3,1,86.1440625,15.3,adulto
28,Male,Master,Operations,2,15.4,0.8,4793.83,6,11,4,30.2,3,2.5,3,4,4,0,171.2082142857143,61.6,joven
38,Female,Bachelor,Sales,4,0.2,7.0,4629.79,8,1,2,70.2,4,19.2,7,2,4,1,121.83657894736842,0.4,adulto
